the_geom,OBJECTID,Meter ID,Parking Zone,Street,Block,Type,Side,Number of Spaces,Parkmobile ID,Latitude,Longitude,Updated in CNOGIS
POINT (-90.069976912186 29.947413212645),1103482,CAM-600-0167,7,Camp,600,SSM,L,1,2937,29.947407800000001,-90.069971300000006,
POINT (-90.134532629637 29.94464441014),1103740,DUB-600-0542,10,Dublin W,600,PS,U,18,29124,29.944638999999999,-90.134527000000006,
POINT (-90.070512612186 29.948833113198),1104038,N.MAE-600-1088,7,N. Maestri,600,PS,U,14,29235,29.948827699999999,-90.070507000000006,
POINT (-90.063698410308 29.955793814489),1103715,DEC-500-0531,6,Decatur,500,SSM,L,1,29111,29.955788399999999,-90.063692799999998,
POINT (-90.071407012324 29.945914812548),1103896,JUL-600-0737,7,Julia,600,PS,D,3,29183,29.945909400000001,-90.071401399999999,
POINT (-90.076505614421 29.958005415151),1103604,CNL-1500-0274,5,Canal,1500,SSM,U,1,2954,29.957999999999998,-90.076499999999996,
POINT (-90.0663423111 29.942637112193),1104030,N.DIA-300-1087,8,N. Diamond,300,PS,D,1,29233,29.9426317,-90.066336699999994,
POINT (-90.082916315684 29.954230513922),1104348,S.ROM-600-1652,1,S. Roman,600,SSM,R,1,29339,29.954225099999999,-90.082910699999999,
POINT (-90.0763494132 29.947793112536),1103944,LOY-700-0890,7,Loyola,700,PS,R,14,29198,29.947787699999999,-90.076343800000004,
POINT (-90.072323912291 29.95095331326),1104162,PER-800-1239,3,Perdido,800,PS,D,10,29273,29.950947899999999,-90.072318300000006,
POINT (-90.076933214111 29.958736815296),1103608,CNL-1600-0281,5,Canal,1600,SSM,D,1,2955,29.958731400000001,-90.076927600000005,
POINT (-90.067137311078 29.949389713215),1104116,NAT-400-1194,4,Natchez,400,SSM,U,1,29260,29.949384299999998,-90.067131700000004,
