Name,Address,Type,Bedroom limit,Guest limit,Expiration date,Location,x,y
920 Gallier St,920 Gallier St,Accessory STR,2,4,05/06/2020 11:59:59 PM,"(29.9648481336828, -90.0402259022415)",3690278.65,535019.32
3713 Magazine St Unit A,3713 Magazine St Unit A,Accessory STR,2,4,09/18/2020 11:59:59 PM,"(29.9217611599921, -90.0937126785976)",3673512.95,519164.13
888 Girod St Apt 201,888 Girod St Apt 201,Commercial STR,3,6,09/17/2020 11:59:59 PM,"(29.9477777111869, -90.0735909067246)",3679782.74,528694.2
1518 Dumaine St,1518 Dumaine St,Accessory STR,1,2,09/18/2020 11:59:59 PM,"(29.9646393953075, -90.0707741343807)",3680607.19,534835.55
1518 Webster St,1518 Webster St,Accessory STR,3,6,09/23/2020 12:05:10 PM,"(29.9302134134506, -90.1203476978083)",3665043.45,522147.39
1201 Columbus St Apartment 3,1201 Columbus St Apartment 3,Commercial STR,1,2,09/26/2020 11:59:59 PM,"(29.9681229471527, -90.0633746516036)",3682936.01,536128.19
334 Carondelet St Unit 311,334 Carondelet St Unit 311,Commercial STR,1,2,10/18/2019 12:35:02 PM,"(29.9507981352326, -90.0712885801242)",3680499.74,529800.56
2720 Frenchmen St,2720 Frenchmen St,Accessory STR,3,6,09/26/2020 11:59:59 PM,"(29.9851526782604, -90.0595905780058)",3684065.26,542334.14
4115 Stewart Ct,4115 Stewart Ct,Accessory STR,1,2,10/17/2019 08:42:58 PM,"(29.9815905266631, -90.0944067140526)",3673057.87,540917.96
2032 Dublin St,2032 Dublin St,Accessory STR,3,6,09/19/2020 11:59:59 PM,"(29.9543281454307, -90.1241791087547)",3663737.37,530903.6
1900 Cadiz St Unit A,1900 Cadiz St Unit A,Commercial STR,,,09/19/2020 11:59:59 PM,"(29.9294883394697, -90.104865111265)",3669950.16,521935.97
607 Austerlitz St.,607 Austerlitz St.,Accessory STR,1,2,09/19/2020 11:59:59 PM,"(29.9185652870011, -90.0953698729008)",3673000.57,517996.32
334 Carondelet St #410,334 Carondelet St #410,Commercial STR,1,2,04/04/2020 11:59:59 PM,"(29.9508194027747, -90.0712179537104)",3680522.02,529808.54
3710 Dryades St,3710 Dryades St,Accessory STR,1,2,09/23/2020 11:59:59 PM,"(29.9299067940485, -90.0958795166927)",3672794.59,522118.76
7015 Green St,7015 Green St,Accessory STR,,,09/28/2020 11:59:59 PM,"(29.9457380458305, -90.118393425341)",3665602.58,527799.29
5900 Alfred St,5900 Alfred St,Accessory STR,1,2,09/28/2020 11:59:59 PM,"(30.0173525858634, -90.0812054111229)",3677094.92,553967.89
2529 N Tonti St,2529 N Tonti St,Accessory STR,1,2,09/29/2020 11:59:59 PM,"(29.9811990865147, -90.051191037069)",3686740.3,540926.12
631 Lowerline Street,631 Lowerline Street,Accessory STR,3,6,05/10/2020 11:59:59 PM,"(29.9388134459441, -90.1275530775154)",3662728.34,525250.6
1401 Lesseps St,1401 Lesseps St,Accessory STR,1,2,09/29/2020 11:59:59 PM,"(29.9680863675016, -90.0314035864042)",3693058.62,536228.49
1025 Jena St,1025 Jena St,Accessory STR,2,4,09/29/2020 11:59:59 PM,"(29.9223227117779, -90.102786427602)",3670636.54,519337.35
709 Jackson Ave Apt 103 Unit 103,709 Jackson Ave Apt 103 Unit 103,Commercial STR,1,2,10/08/2020 11:59:59 PM,"(29.9268077719343, -90.0739877379616)",3679740.88,521067.39
